CVE,x,y,poblacion
00290016,29,16,1
00220013,22,13,1
00440013,44,13,1
00270032,27,32,1
00360000,36,0,1
00020005,2,5,1
00230020,23,20,1
00240046,24,46,1
00460044,46,44,1
00480039,48,39,1
00080004,8,4,1
00400047,40,47,1
00260029,26,29,1
00030021,3,21,1
00430042,43,42,1
00370000,37,0,1
00080033,8,33,1
00310018,31,18,1
00420042,42,42,1
00450033,45,33,1
00270034,27,34,1
00240007,24,7,1
00270010,27,10,1
00030046,3,46,1
00240048,24,48,1
00360025,36,25,1
00030033,3,33,1
00330038,33,38,1
00350016,35,16,1
00130032,13,32,1
00160010,16,10,1
00240011,24,11,1
00180027,18,27,1
00120044,12,44,1
00440010,44,10,1
00340046,34,46,1
00300022,30,22,1
00480014,48,14,1
00330017,33,17,1
00000031,0,31,1
00110038,11,38,1
00450001,45,1,1
00060024,6,24,1
00020027,2,27,1
00080008,8,8,1
00020020,2,20,1
00080026,8,26,1
00130002,13,2,1
00130034,13,34,1
00130041,13,41,1
00250042,25,42,1
00390008,39,8,1
00460012,46,12,1
00340048,34,48,1
00150017,15,17,1
00260037,26,37,1
00400037,40,37,0
00020046,2,46,1
00280032,28,32,1
00250028,25,28,1
00490003,49,3,1
00190022,19,22,1
00270024,27,24,1
00210021,21,21,1
00140025,14,25,1
00370012,37,12,1
00240034,24,34,1
00100027,10,27,1
00000007,0,7,1
00480011,48,11,1
00340019,34,19,1
00260018,26,18,1
00230007,23,7,1
00320049,32,49,1
00230048,23,48,1
00400030,40,30,1
00070008,7,8,1
00350025,35,25,1
00180008,18,8,1
00420018,42,18,1
00440015,44,15,1
00010011,1,11,1
00030012,3,12,1
00060021,6,21,1
00440049,44,49,1
00120001,12,1,1
00260027,26,27,1
00210020,21,20,1
00320022,32,22,1
00370046,37,46,1
00220048,22,48,1
00330000,33,0,1
00400018,40,18,1
00440020,44,20,1
00180014,18,14,1
00460043,46,43,1
00150049,15,49,1
00080049,8,49,1
00040029,4,29,1
00250008,25,8,1
00260017,26,17,1
00020012,2,12,1
00270044,27,44,1
00300012,30,12,1
00380043,38,43,1
00180030,18,30,1
00170029,17,29,1
00490045,49,45,1
00080029,8,29,1
00460033,46,33,1
00040028,4,28,1
00010026,1,26,1
00180033,18,33,1
00250030,25,30,1
00120026,12,26,1
00370017,37,17,1
00410003,41,3,1
00470024,47,24,1
00040003,4,3,1
00260000,26,0,1
00270045,27,45,1
00240002,24,2,1
00200017,20,17,1
00280018,28,18,1
00420027,42,27,1
